index,title,description,difficulty,certificate_available,students,price,rating,reviews_count,source,course
datascience/,Data Science A-Z: Hands-On Exercises & ChatGPT Prize [2025],"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",Все уровни,True,223 757 студента,10890.0,"4,6",34751,udemy,Обработка и анализ данных
machine-learning-for-absolute-beginners-level-1/,Machine Learning for Absolute Beginners - Level 1,Learn the Fundamental Concepts of Artificial Intelligence and Machine Learning as the Next Game-Changing Technology,Начальный,True,120 723 студента,6090.0,"4,5",31061,udemy,Обработка и анализ данных
sql-150-2025/,SQL 150 вопросов для уверенного собеседования в 2025,"Мастер-класс – 150 вопросов для собеседования в 2025» предназначен для тех, кто готовится к собеседованиям по SQL",Все уровни,False,6 студента,5390.0,"0,0",0,udemy,Обработка и анализ данных
ai-machinelearning-ru/,Искусственный интеллект и Машинное обучение + Основы Python,"Научитесь понимать технологии ИИ, Машинное обучение и Нейронные Сети, а также основы Программирования на Python",Все уровни,True,2 123 студента,6090.0,"4,5",481,udemy,Обработка и анализ данных
langchain/,LangChain- Develop AI Agents with LangChain & LangGraph,"Learn LangChain and LangGraph by building real world AI Agents (Python, Latest Version 1.0+)",Средний,True,141 782 студента,5390.0,"4,6",41585,udemy,Обработка и анализ данных
spark-and-python-for-big-data-with-pyspark/,Spark and Python for Big Data with PySpark,"Learn how to use Spark with Python, including Spark Streaming, Machine Learning, Spark 2.0 DataFrames and more!",Средний,True,147 490 студента,9690.0,"4,5",26104,udemy,Обработка и анализ данных
data-science-python-3/,Data Science и Machine Learning на Python 3 с нуля,"Изучи Python 3 с нуля для работы с Data Science и и Machine Learning библиотеками - NumPy, Pandas, Matplotlib and more!",Все уровни,True,5 101 студент,5690.0,"4,5",926,udemy,Обработка и анализ данных
python-for-data-science-and-machine-learning-bootcamp/,Python for Data Science and Machine Learning Bootcamp,"Learn how to use NumPy, Pandas, Seaborn , Matplotlib , Plotly , Scikit-Learn , Machine Learning, Tensorflow , and more!",Все уровни,True,794 370 студента,7190.0,"4,6",155559,udemy,Обработка и анализ данных
data-analysis-with-pandas/,Data Analysis with Pandas and Python,Analyze data quickly and easily with Python's powerful pandas library! All datasets included --- beginners welcome!,Все уровни,True,219 028 студента,6490.0,"4,7",25552,udemy,Обработка и анализ данных
advanced-dax-r/,Расширенный\Advanced DAX для бизнес-пользователей,Углубленное владение расширенными вычислениями на DAX,Все уровни,True,59 студента,5390.0,"5,0",11,udemy,Обработка и анализ данных
r-programming/,R Programming A-Z™: R For Data Science With Real Exercises!,"Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",Все уровни,True,281 932 студента,6590.0,"4,5",56565,udemy,Обработка и анализ данных
statistics-for-data-science-and-business-analysis/,Statistics for Data Science and Business Analysis,"Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",Все уровни,True,225 269 студента,6190.0,"4,6",48665,udemy,Обработка и анализ данных
artificial-intelligence-az/,"Artificial Intelligence A-Z 2025: Agentic AI, Gen AI, and RL","Combine the power of Agentic AI, Generative AI, Reinforcement Learning to create powerful AI for Real-World applications",Все уровни,True,338 649 студента,8790.0,"4,4",48395,udemy,Обработка и анализ данных
deeplearning/,"Deep Learning A-Z 2025: Neural Networks, AI & ChatGPT Prize","Learn to create Deep Learning models in Python from two Machine Learning, Data Science experts. Code templates included.",Все уровни,True,402 335 студента,10590.0,"4,6",48992,udemy,Обработка и анализ данных
python-coding/,Python A-Z™: Python For Data Science With Real Exercises!,"Programming In Python For Data Analytics And Data Science. Learn Statistical Analysis, Data Mining And Visualization",Все уровни,True,171 835 студента,5890.0,"4,5",30099,udemy,Обработка и анализ данных
agentic-ai-private-agentic-rag-with-langgraph-and-ollama/,Agentic AI - Private Agentic RAG with LangGraph and Ollama,"LangGraph v1, Ollama, Agentic RAG, Private RAG, Corrective RAG, CRAG, Reflexion, Self-RAG, Adaptive RAG, MySQL Agent",Все уровни,True,521 студент,5390.0,"4,9",46,udemy,Обработка и анализ данных
machinelearning/,"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2025]",Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.,Все уровни,True,1 168 854 студента,6090.0,"4,5",201336,udemy,Обработка и анализ данных
complete-machine-learning-and-data-science-zero-to-mastery/,"Complete A.I. & Machine Learning, Data Science Bootcamp","Learn Data Science, Data Analysis, Machine Learning (Artificial Intelligence) and Python with Tensorflow, Pandas & more!",Все уровни,True,156 515 студента,5890.0,"4,5",29253,udemy,Обработка и анализ данных
the-data-science-course-complete-data-science-bootcamp/,The Data Science Course: Complete Data Science Bootcamp 2025,"Complete Data Science Training: Math, Statistics, Python, Advanced Statistics in Python, Machine and Deep Learning",Все уровни,True,787 430 студента,5890.0,"4,6",158630,udemy,Обработка и анализ данных
data-science-and-machine-learning-with-python-hands-on/,"Machine Learning, Data Science & AI Engineering with Python","Complete hands-on deep learning, AI engineering and Generative AI tutorial with data science, Tensorflow, GPT, OpenAI",Все уровни,True,239 001 студент,5590.0,"4,6",36044,udemy,Обработка и анализ данных
ittensive-machine-learning-clustering/,Машинное обучение: кластеризация и аномалии на Python,Прокачаться в машинном обучении без учителя и научиться выделять кластеры в данных и искать аномалии,Профессиональный,True,85 студента,5390.0,"4,9",4,udemy,Обработка и анализ данных
dela_data_management/,Основы работы с данными для бизнес лидеров,"На примерах дата проектов в Ритейле, Энергетики, Финансах, Телекома и Нефтегаза",Начальный,True,2 студента,13990.0,"5,0",1,udemy,Обработка и анализ данных
python-machine-learning-data-science-russian/,Машинное обучение в Python: Machine Learning & Data Science,"Изучите NumPy, Pandas, Matplotlib, Seaborn, Scikit-Learn и многое другое! Осваивайте Искусственный Интеллект на практике",Все уровни,True,4 455 студента,5390.0,"4,7",800,udemy,Обработка и анализ данных
data-mining-for-beginners/,Data mining для начинающих,Data Mining для начинающих: Алгоритмы и методы анализа данных для реальных задач,Все уровни,True,1 студент,5390.0,"3,5",1,udemy,Обработка и анализ данных
